uid	gender	age	occupation	seq
3632	1	2	5	1004,2527,576,1054,3042,1091,2618,1047,1109,1789,1640,1003,279,1132,1120,491,2680,2029,2368,2435,1225,1651,1043,25,2559,963,2269,2585,1313,2090,953,1994,318,16,1955,1115,458,940,1682,700,106,1086,3138,456,994,1892,1497,528,1227,3119,2173,1089,1110,223,354,47,212,98,2623,526,1833,1981,45,1533,1456,1978,3047,1096,1049,801,3082,1102,2418,976,2850,1046,1182,1053,3016,2390,3480,3451,2957,3226,50,3184,2958,2935,2934,3479,1755,1044,2560,2949,3419,3532,2814,3528,3491,334
4827	1	2	7	2585,1071,1043,1114,1090,1064,1207,1118,1151,1135,517,1045,2390,1919,1137,1102,1068,1066,2650,1074,2985,2755,2410,2698,1721,1209,2154,1105,1727,3138,2014,1690,810,1806,1696,1146,1728,3162,1899,1843,992,1685,3294,2105,1101,2051,2632,2166,2102,2730,1825,2156,1142,1840,1738,2319,2728,3066,2527,2552,1067,759,1218,3085,246,1040,1079,1054,1052,1060,1116,1724,1682,2491,1122,2847,1138,1683,3267,2318,3239,949,2222,2693,3004,3130,1184,1106,1050,2402,2611,813,2224,1803,911,2526,908,857,1746,1131
1543	1	3	8	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1533,1075,718,1751,2828,1407,1548,2680,1143,1957,1510,1027,517,1084,992,2648,1693,3138,3294,584,949,1815,2693,914,189,808,788,2005,2613
1782	1	1	4	1052,300,3329,2689,2400,1065,1911,840,924,794,1026,1992,1673,1054,34,3298,977,805,1074,3161,808,1059,953,963,2435,1084,1110,819,232,1127,1755,1060,2889,152,2668,1078,1091,969,36,858,954,289,844,1192,999,2283,565,1218,2984,1068,3184,2269,2986,2036,700,1747,2477,860,2963,792,107,964,2368,1075,1680,1483,1619,2802,1745,1082,1050,2386,3115,1465,1102,1168,2390,2326,2065,1724,2185,1710,1721,1235,3089,1991,3110,1179,1730,1184,2384,1173,1181,239,1428,2738,347,2297,1702,1046
1977	0	5	9	1446,2526,2755,2719,61,1465,1066,338,3162,2224,2693,3016,2899,32,3184,3344,3221,3096,858,1109,2095,1806,337,2349,745,57,416,821,3123,1825,515,2738,1672,832,783,3294,1491,1528,11,444,1237,3135,343,1546,2760,2799,1053,300,576,837,2847,843,1677,2845,2988,3480,971,1032,1747,2850,1004,1069,2771,1138,1136,1075,1148,2660,953,2694,805,2894,1132,21,2051,560,2827,2054,952,3137,949,3491,2949,3226,3476,3416,795,2941,246,2435,3047,1673,1755,793,1131,3088,906,1192,3077,1045
3786	0	2	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,1696,1689,894,1049,808,1685,107,1086,2390,1146,2095,1,1114,1101,1113,911,2585,1116,2261,710,1645,3042,2527,2892,563,566,560,967,1109,2857,3346,3344,562,2468,2467,974,1040,788,2198,1265,2318,949,1732,666,669,1079,1955,2464
5677	0	3	6	2526,1960,2771,1,1686,1053,1740,1777,2419,2123,503,808,2752,842,107,1146,3036,971,1689,2413,2762,2844,2095,2596,246,1044,3024,1218,1682,1207,1209,2318,702,2307,2895,1840,1208,1375,3085,902,1190,1645,1842,1779,2092,310,1204,1760,1206,1122,999,1138,1079,911,949,2745,3006,2435,776,1636,1126,567,345,2363,895,1362,900,1865,897,299,1841,896,1886,544,612,908,1193,2053,148,1648,533,2986,2021,1509,955,1446,2894,1300,2452,1952,925,2003,1730,1765,1416,2410,2130,1807,558,311
2228	1	1	19	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2307,106,1510,3529,1096,1045,2623,797,2386,1456,2527,3094,2464,561,526,3226,456,2814,1371,3165,3121,2934,3146,252,69,2465,3,992,2660,2650,3388,3339
4299	1	1	15	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,3006,106,1043,2711,1088,2693,3233,3399,3239,2419,3404,2739,2112,3238,702,3356
5454	0	2	20	3149,1885,1094,3295,2033,1071,2725,1074,3401,1045,2970,2747,1143,1144,2014,1149,1046,3505,1076,1747,970,1684,1693,1685,2596,1033,1801,2521,2880,962,2363,2771,1127,1110,2990,1108,791,1667,812,842,2097,1929,862,839,718,2272,468,1680,1053,3083,1857,1168,3264,679,1420,2540,1082,815,3476,1109,2857,3040,1136,2883,2452,1691,823,859,503,1793,1683,2735,2036,2984,1500,220,2317,3491,1681,54,3279,294,721,36,2949,2403,2820,189,1035,2004,843,2789,833,865,1483,1950,3004,2355,819,883
